whitish,adj. 发白的
countless,adj. 无数的
aqueduct,n. 沟渠
firefighting,n. 消防
sunshine,n. 阳光
massive,adj. 巨大的，非常严重的
rattle,n. 拨浪鼓
budgeting,n. 预算
inconclusive,adj. 无结论的
ancestral,adj. 祖先的
human,adj. 人的；n. 人
lava,n. 熔岩
determination,n. 决心
proposition,n. 提议
emblem,n. 象征
sturdy,adj. 结实的
confederacy,n. 联盟
plantation,n. 种植园
nestle,v. 安卧
distractibility,n. 注意涣散
topographic,adj. 地形的
watercraft,n. 船只
viewpoint,n. 观点
loom,n. 织布机
male,adj. 雄性的；n. 雄性
empire,n. 帝国
colonize,v. 将…建成殖民地，在…大批生长
instinctive,adj. 本能的，天生的
castle,n. 城堡
redevelopment,n. 再开发
preside,v. 担任主席
falsehood,n. 虚假
unexpected,adj. 出乎意料的
deliberately,adv. 有意地，小心翼翼地
steamboat,n. 汽船
capability,n. 能力
apologize,v. 道歉
empathize,v. 有同感
recovery,n. 恢复，痊愈
commonly,adv. 通常
silo,n. 筒仓
reliability,n. 可靠性
conflicted,adj. 不知所措的
utilize,v. 利用
blowhole,n. 鼻孔
chomp,v. 大声地咀嚼
colonizer,n. 殖民地开拓者
rightfully,adv. 理所应当
correspondingly,adv. 相应地
expert,n. 专家；adj. 专业的
startling,adj. 惊人的
furnishing,n. 家具
overturn,v. 倾覆
trusty,adj. 可信赖
mayor,n. 市长
intent,n. 意图
clip,v. 修剪；n. 片段
Antarctica,n. 南极洲
aesthetically,adv. 美观地
intricate,adj. 错综复杂的
formality,n. 正式
medieval,adj. 中世纪的
fold,v. 折叠；n. 褶皱
bet,n. 赌注，选择，推测；v. 确信
osmosis,n. 渗透，渗透性
honey,n. 蜂蜜
deteriorate,v. 恶化
input,n. 输入，贡献
mythical,adj. 神化的，虚构的
chilly,adj. 寒冷的
spinner,n. 纺纱工
raccoon,n. 浣熊
notation,n. 标记
aversion,n. 厌恶
perpetuate,v. 使永久
recommend,v. 推荐
conformist,n. 遵守者
archaeology,n. 考古学
attention,n. 注意，关心
proximity,n. 接近
paw,n. 爪子
egocentric,adj. 以自我为中心的
inextricably,adv. 分不开地
slowly,adv. 缓慢地
equatorial,adj. 赤道的
naturalist,n. 博物学家
counterexample,n. 反例
collapse,n. 倒塌；v. 倒塌
memo,n. 备忘便条
intercommunity,n. 共同性
addition,n. 添加物
discourage,v. 使灰心，阻拦
enrich,v. 使…肥沃 ，使…丰富
coercion,n. 胁迫
voluntary,adj. 主动的
arid,adj. 干旱的
adversely,adv. 不利地
conductance,n. 电导率
presume,v. 推测
commuter,n. [通勤者] 远距离上下班往返的人
skier,n. 滑雪的人
rinse,v. 冲洗
diversify,v. 使...多样化
modification,n. 修改
maladaptive,adj. 适应不良的
amaze,v. 使大为惊奇
chiefdom,n. 酋邦社会
resell,v. 中间商，代理商
extraordinarily,adv. 异常地
doom,n. 沮丧
founder,n. 创建者
monstrous,adj. 骇人的
automotive,adj. 汽车的
cherry,n. 樱桃
funnel,v. 输送
overseas,adj. 在国外的
compelling,adj. 令人信服的，有吸引力的
voltage,n. 电压
passageway,n. 过道，通道
ornamentation,n. 装饰
biographical,adj. 传记的
undertake,v. 从事
pursue,v. 追求
incise,v. 刻
lavishly,adv. 奢华地
bud,n. 芽
bravery,n. 勇敢
radiate,v. 辐射，传播
essentially,adv. 本质上，大体上
overcast,adj. 多云的
cargo,n. 货物
tractor,n. 拖拉机
owe,v. 归属
paperwork,n. 文书工作
timetable,n. 时间表
manufacturer,n. 生产者
geomagnetic,adj. 地磁的
carbonize,v. 使碳化
latitudinal,adj. 纬度的
mainstay,n. 支柱
misinterpretation,n. 错误的阐释
municipal,adj. 市政的
reflectivity,n. 反射率
amid,adv. 在…中
gloom,n. 幽暗，失望
yeast,n. 酵母
tillage,n. 耕种
twitch,v. 抖动
scope,n. 范围
grain,n. 谷物，颗粒
reddish,adj. 微红的
influx,v. 流入
spectacular,adj. 惊人的
tether,v. 拴
lumber,n. 木材
overly,adv. 过于
disc,n. 圆盘
adjustment,n. 调整，适应
administer,v. 管理
marginal,adj. 贫瘠的，边缘的
vaguely,adv. 模糊地
interactively,adv. 互动地
onward,adv. 从…起
amphibian,n. 两栖动物；adj. 两栖动物的
purchase,v. 购买；n. 购买
harvester,n. 收割机
jar,n. 罐子
automatically,adv. 自动地
rumor,n. 谣言，传闻
subway,n. 地铁
fossilized,adj. 变成化石的
capitalism,n. 资本主义
appreciate,v. 感谢，欣赏，意识到
pushy,adj. 强迫的
fascinate,v. 迷住
scientific,adj. 科学的
cinnamon,n. 桂皮
inveterately,adv. 根深蒂固地
loosely,adv. 松散地
glandular,adj. 腺的
miniature,n. 小型物，小画像
trivial,adj. 微不足道的
momentarily,adv. 短暂地
killer,n. 杀手
stimulation,n. 刺激
sack,n. 麻布袋
utterly,adv. 完全地
cooperation,n. 合作
comparatively,adv. 相比较地，相当地
rupture,v. 破裂
clay,n. 黏土
spill,v. 溢出；n. 溢出
struggle,v. 斗争
compound,n. 复合物；v. 由...组成
recur,v. 反复出现
heliacal,adj. 太阳的
timing,n. 时间选择
bead,n. 珠子
induce,v. 引起，劝说
repetitious,adj. 重复的
comedy,n. 喜剧
fore,n. 前部
prehistorian,n. 史前学家
ultrasound,n. 超声波
fluorescent,adj. 发荧光的
entomologist,n. 昆虫学家
multiplicity,n. 多样性
utilitarian,adj. 实用的，功利主义的
might,v. 可能；n. 威力
sustainable,adj. 可持续性的
giant,adj. 巨大的 ；n. 巨人
taboo,n. 禁忌
midway,adv. 在中间
lizard,n. 蜥蜴
streambed,n. 河床
inventor,n. 发明者
unfortunately,adv. 不幸地
economical,adj. 经济的，简洁的
climate,n. 气候
ovation,n. 热烈鼓掌
treaty,n. 条约
exact,adj. 确切的
masonry,n. 砖石结构
geocentric,adj. 以地球为中心的
awe,v. 敬畏
qualification,n. 资格
fictitious,adj. 虚构的
Renaissance,n. 文艺复兴
identify,v. 辨认
mountainside,n. 山坡
segmented,adj. 分段的
enigmatic,adj. 神秘的
tame,adj. 驯化的
dreamer,n. 做梦的人
harden,v. 变硬
legitimize,v. 使…合理
memorable,adj. 难忘的
challenger,n. 挑战者
opera,n. 歌剧
hearth,n. 壁炉炉床
printer,n. 印刷工人
modeling,n. 模型
cerebellum,n. 小脑
chimney,n. 烟囱
detour,n. 绕行
arrangement,n. 安排，改编
impermanent,adj. 临时的
Arab,adj. 阿拉伯的
mosquito,n. 蚊子
prattle,v. 闲聊
bearing,n. 方位
autonomous,adj. 自主的
experimental,adj. 实验的
hippopotamus,n. 河马
puff,v. 一阵阵冒出
destabilize,v. 使…不稳定
grunt,n. 哼声；v. 动物发出哼声
salary,n. 薪水
palimpsest,n. 重写本
misleading,adj. 误导的
plot,n. 情节，小块土地；v. 绘制
surmise,v. 猜测
minimal,adj. 最小的
sodium,n. 钠
pharmaceutical,adj. 制药的
rhyme,n. 韵律
locate,v. 位于，找出…的准确位置
abandon,v. 抛弃
parlor,n. 起居室
sensitivity,n. 敏感度
incorrectly,adv. 不正确地
skin,n. 表皮，兽皮
indecipherable,adj. 难以辨认的
opponent,n. 反对者，对手
evenly,adv. 均匀地
interpret,v. 解释，理解
endless,adj. 无止境的
fortunately,adv. 幸运地
artsy,adj. 有艺术家气息的
spacecraft,n. 太空船
sporadic,adj. 零星的
change,v. 改变，替换；n. 改变
subjective,adj. 主观的
electron,n. 电子
fungi,n. 真菌（单数：fungus）
supervision,v. 监督
figure,n. 人像，数据，人物，图案，身材；v. 认为，计算，出现，以图表表示
publisher,n. 出版商，发行人
aristocratic,adj. 贵族的
repel,v. 排斥，击退
thermoregulator,n. 温度调节器
decade,n. 十年
outdated,adj. 过时的
bovine,n. 牛科动物
pastel,adj. 柔和的
fossil,n. 化石
match,v. 与...匹配；n. 相配之物
warfare,n. 战争
misplace,v. 随意搁置
glacial,adj. 冰川的
undemocratic,adj. 不民主的
vicissitude,n. 变迁
smoothly,adv. 顺利地
unpredictability,n. 不可预测
nominate,v. 提名，任命
thatched,adj. 茅草覆顶的
ballad,n. 民谣
portfolio,n .作品选辑
subsidy,n. 补贴
physiology,n. 生理机能
offsite,adj. 外侧的
sink,n. 下沉；v. 下沉
steam,n. 蒸汽
rolling,adj. 起伏的
meteor,n. 流星
racetrack,n. 赛车道
amnesia,n. 遗忘症
observatory,n. 天文台
canoe,n. 独木舟
irrigate,v. 灌溉
retirement,n. 退休
generally,adv. 通常地，总体上
dedication,n. 奉献精神
metropolis,n. 大城市
burrow,v. 挖洞；n. 地洞
wholesomeness,n. 健全
lobe,n. 叶
dependence,n. 依赖
mentor,n. 导师
sensation,n. 感觉
tobacco,n. 烟草
keyword,n. 关键词
appearance,n. 出现，外表，演出
contribution,n. 贡献，作用
property,n. 特性，财产
unpredictable,adj. 不可预测的
ordinarily,adv. 通常地
tuning,n. 调音
oar,n. 桨
misfortune,adj. 不幸
graphically,adj. 生动地
gamble,v. 赌博
sledge,n. 雪橇
communicate,v. 表达，传染
infrasound,n. 次声
impractical,adj. 不实际的
bacterial,adj. 细菌的
repertory,n. 保留剧目
seek,v. 追求，寻找
electronically,adv. 用电子方法
ooze,n. 泥浆；v. 慢慢地冒出
soak,v. 渗透
mediator,n. 调解人
selling,n. 销售
lens,n. 透镜
charity,n. 慈善机构
detritus,n. 残渣
disposable,adj. 可支配的
unusual,adj. 不寻常的
micrometer,n. 微米
rod,n. 棒
efficiency,n. 效率
flourish,v. (植物或动物)茁壮成长，繁荣
scribe,n. 抄写员
sheer,adj. 完全的
infinite,adj. 无限的，极大的
marker,n. 标记
silica,n .硅石， 二氧化硅
housekeeping,n. 家务
whirl,v. 旋转
accomplishment,n. 成就
implement,v. 实施
polluted,adj. 污染的
livelihood,n. 生计
observance,n. 宗教仪式
underlie,v. 位于…之下
afterlife,n. 来生
discipline,n. 学科，纪律
terrifying,adj. 可怕的
delete,v. 删去
cyclone,n. 龙卷风
firestorm,n. 风暴性大火
unification,n. 统一
tutor,n. 导师；v. 指导
swampy,adj. 沼泽的
contaminate,v. 污染
resonate,v. 共振
refinement,n. 改进，文雅
dryness,n. 干燥
quit,v. 退出
solitude,n. 独处
offspring,n. 子孙，后代
dispense,v. 分发
colony,n.  (鸟，昆虫或动物的）群体，殖民地
spur,v. 促进
epistle,n. 书信
billboard,n. 广告牌
vice,n. 缺点
soften,v. 变软
wish,v. 希望；n. 愿望
previously,adv. 之前
eastward,adv. 向东；adj. 向东的
nascent,adj. 刚出现的
deglaciate,v. 减冰川
semantics,n. 语义学
normally,adv. 通常
rub,n. 摩擦；v. 摩擦
insulation,n. 隔热层
lump,n. 块
overexploitation,n. 过度利用
precipitous,adj. 陡峭的
laughter,n. 笑声
tricky,adj. 狡猾的
helium,n. 氦
gorilla,n. 大猩猩
packet,n. 数据包
oily,adj. 油腻的
emotion,n. 情感
entity,n. 实体
loan,n. 借款，借用
median,adj. 中间的
friction,n. 摩擦力，不和
thankfully,adv. 感激地
clumsy,adj. 笨拙的
endeavor,n. 尝试；v. 努力
cookie,n. 曲奇饼
manual,adj. 手工的
excrete,v. 排出
impure,adj. 不纯的
deliver,v. 递送
nutrient,n. 营养物
subtly,adv. 细微地
static,adj. 静止的
interruption,n. 阻断，插嘴
architecturally,adv. 在建筑学上
intertwine,v. 使缠绕在一起
photosynthesis,n. 光合作用
realistic,adj. 现实的，逼真的
malaria,n. 疟疾
popularize,v. 使…受欢迎
shed,v. 脱落，流出，倾吐
picky,adj. 挑剔的
objective,adj. 客观的；n. 目标
disrupt,v. 使…中断，扰乱
possession,n. 拥有，财产(possessions)
retain,v. 保留
dissonance,n. 不和谐音
fulfill,v. 实现
healer,n. 治疗师
walker,n. 步行者
oral,adj. 口述的
leatherback,n. 棱皮龟
decompose,v. 分解，腐烂
preference,n. 偏好
developer,n. 开发者
ventilate,v. 使通风
monolithic,adj. 巨大的
narrative,n. 叙述；adj. 叙述的
hydrogen,n. 氢
colonization,n. [生物]移植，殖民化
divinity,n. 神
agrarian,adj. 土地的
regulation,n. 规定，管理
relevance,n. 关联，相关性
recreate,v. 认为，再创造
characteristic,n. 特征；adj. 典型的
blade,n. 锋刃，桨叶，叶片
fisher,n. 渔夫
wavelength,n. 波长
creep,v. 缓慢行进
skillfully,adv. 娴熟地
gatherer,n. 采集者
capture,v. 捕获，获得；n. 捕获
appease,v. 抚慰，平息，缓解
demonstrator,n. 示威者
holder,n. 持有者
victim,n. 受害者
aerial,adj. 空中的
deny,v. 否定
backbreaking,adj. 艰苦繁重的
comparably,adv. 同等地
inhabitant,n. 居民
antecedent,n. 前事
loam,n. 壤土
deem,v. 认为
spectrometer,n. 分光仪
ongoing,adj. 持续的
endothermic,adj. 吸热的
alpine,adj. 高山的
territory,n. 地盘
thrilling,adj. 令人兴奋的
sequential,adj. 顺序的
heal,v. 治愈
substratum,n. 底层
tenure,n. 任期
pestle,n. 杵
penalty,n. 处罚
electricity,n. 电
velocity,n. 速度
brainchild,n. 主意，发明
inscribe,n. 雕刻
chandelier,n. 枝形吊灯
mastodon,n. 乳齿象
grossly,adv. 极度地
millennia,n. 一千年（单数：millennium）
stress,n. 压力，紧张，强调；v. 强调
depart,v. 背离
gobble,v. 大口吞吃
radical,adj. 彻底的，激进的
comforting,adj. 令人舒适的
superior,adj. 更好的
unwind,v. 展开
standstill,n. 停顿
marvelous,adj. 感到惊奇的
goal,n. 目标
remove,v. 去除
ostrich,n. 鸵鸟
campfire,n. 营火
peek,v. 偷看
accessory,n. 附件
constituent,n. 成分
dial,n. 表盘
digital,adj. 数码的
empathy,n. 同感
polar,adj. 极地的
spectrum,n. 范围，光谱
limestone,n. 石灰岩
indirectly,adv. 间接地
distinction,n. 差别
insurance,n. 保险
phase,n. 阶段，[天文]相
marshland,n. 沼泽地
radar,n. 雷达
foresee,v. 预见
paradise,n. 天堂
aerobics,n. 有氧运动
cement,v. 黏合；n. 水泥
amplifier,n. 放大器
sigh,v. 叹气；n. 叹气
reiterate,v. 反复做，重申
identification,n. 辨认
immobile,adj. 静止的
spatial,adj. 空间的
staging,n. 演出
narrow,adj. 狭窄的；v. 缩小
conviction,n. 坚定信念
doubtful,adj. 令人生疑的
competitor,n. 竞争者
theory,n. 理论
ostentatious,adj. 浮华的
exoskeleton,n. 外骨骼
ribbon,n. 带
mural,n. 壁画
prior,adj. 在先的
quotation,n. 引文
Jupiter,n. 木星
sculpture,n. 雕塑
nudge,v. 轻推，接近
anchor,n. 锚；v. 使固定
farsighted,adj. 有远见的
criticism,n. 批评
topmost,adj. 最高的
economics,n. 经济情况，经济学
intelligence,n. 智力
decline,n. 下降，衰退；v. 下降，衰退
technical,adj. 技术的
flood,n. 洪水；v. 淹没
incomplete,adj. 未完成的，不完整的
occupation,n. 职业，占领，居住
rent,v. 租用；n. 租金
regularize,v. 使合法化
maple,n. 枫树
trauma,n. 创伤
trunk,n. 树干，象鼻
appall,v. 使惊骇
ledger,n. 分类账簿
material,n. 材料；adj. 物质的
navigate,v. 导航，航行于
peculiarly,adv. 特别地
procure,v. 设法获得
outfit,n. 全套装备
optimistic,adj. 积极的
aggregation,n. 聚集
roadblock,n. 路障
alternatively,adv.  或者
forge,v. 稳步前进，伪造
scenario,n. 设想的情况
handy,adj. 好用的
aid,v. 帮助；n. 帮助
unleash,v. 解除…的束缚
prospect,n. 成功机会，前景
bat,n. 蝙蝠
completely,adv. 彻底地
requirement,n. 必备条件，需要
aggregate,adj. 总的 ；v. 聚集
glimpse,v. 瞥见；n. 一瞥
versus,prep. 相对于
recipe,v. 食谱，处方
oppressive,adj. 令人窒息的
inspire,v. 鼓舞
forerunner,n. 先驱
onrushing,adj. 汹涌的
muddy,adj. 泥泞的
inadequacy,n. 缺点
caring,adj. 关爱的
external,adj. 外界的，外面的
pinhole,n. 针孔
concoct,v. 调制
departure,v. 背离；n. 离开；adj. 开端
craftspeople,n. 手工艺人
conclusively,adv. 不容置疑地
glaze,n. 釉；v. 给...上釉
nephew,n. 侄子，外甥
mitigation,n. 减轻罪行
noteworthy,adj. 明显的，值得注意的
pilgrim,n. 朝圣者
maturation,n. 成熟
eagerness,n. 渴望
exoplanet,n. 太阳系外行星
recap,v. 扼要重述
fright,n. 惊吓
shrub,n. 灌木
pastoralism,n. 游牧
node,n. 结，节点
ethnic,adj. 民族的
sword,n. 剑
curved,adj. 弧形的
agricultural,adj. 农业的
fungal,adj. 真菌的
deformity,n. 畸形
facilitate,v. 促进
celebration,n. 庆祝
chain,n. 岛链，一系列
adapt,v. 调整…以适用，改编
geometry,n. 几何学
beacon,n. 灯塔
noontime,n. 正午
diversification,n. 多样化
scarce,adj. 不足的
insufficient,adj. 不足的
sympathize,v. 同情
responsive,adj. 反应灵敏的
excavation,n. 挖掘
kinesthetic,adj. 运动觉的
quirk,n. 趣事
civilized,adj. 文明的
mutation,n. 突变
rooted,adj. 固定在某地的，根源在于
poorly,adv. 糟糕地，不足地
liver,n. 肝脏
mathematically,adv. 以数学方式
emperor,n. 皇帝
series,n. 一系列
disorganized,adj. 杂乱无章的
expressionism,n. 表现主义
impressive,adj. 令人印象深刻的，很大的
photography,n. 摄影，摄影术
bleach,v. 漂白
takeover,v. 接管
virtual,adj. 实质上的
atmosphere,n. 大气，空气
lifestyle,n. 生活方式
privacy,n .隐私
carrier,n. 带菌者，载体，运输公司
balcony,n. 阳台
softly,adv. 轻柔地
twist,v. 转动
tip,n. 尖
budding,adj. 崭露头角的
pictorial,adj. 有插图的
biogeographer,n. 生物地理学家
severely,adv. 严重地
storey,n. 楼层
silhouette,n. 轮廓
